tweet_id,event_id,eventType,text,date,user_id,annotation_postPriority
2407,3,typhoon,ComVal miners warned on typhoon; govt adopts #pabloPH hashtag: Disaster management officials on Sunday urged sma... http://t.co/xiv7HQYj,,,Medium
2408,3,typhoon,"Panira yung #PabloPH. Nakakainis, @OyyTanTan!",,,Low
2409,3,typhoon,Nakakaloka ang parating na bagyong #PabloPH ingat po tayo lalo na mga taga mindanao!,,,Low
2410,3,typhoon,"RT @govph: Summary: Press briefing by @NDRRMC_Opcen on #PabloPH, December 2, 2012, 11:00 a.m. http://t.co/QjYW6IIm",,,Medium
2411,3,typhoon,"RT @ANCALERTS: Typhoon Bopha will head to Visayas on Wednesday, then bring rains to Metro Manila on Thursday",,,Medium
2412,3,typhoon,"RT @focfashionmusic: Prep for Typhoon Bopha: Stock 'em canned goods&amp;water, charge all electronix, and watch #MyParanormalRomance tod ...",,,Medium
2413,3,typhoon,"RT @DZMMTeleRadyo: Pananalasa ng Typhoon Bopha, pinaghahandaan na sa CDO http://t.co/F9qaqF9e http://t.co/M1rMacrU - be safe!",,,Low
2414,3,typhoon,RT @JojoMalig: The Philippines had the most deaths caused by extreme-weather events last year. http://t.co/JKJxeX2U #PabloPH #Bopha,,,Low
2415,3,typhoon,RT @OyyAhh: Typhoon Pablo is expected to be stronger than Typhoon Sendong. Keep safe everyone. Keep calm and pray. :),,,Low
2416,3,typhoon,Heads up! (Photo not mine) #PabloPH http://t.co/4y521PEq,,,High
2417,3,typhoon,"RT @dost_pagasa: Typhoon ""BOPHA"" Satellite image as of 02/DEC/12 02:30PM http://t.co/0DTU8Aiu",,,High
2418,3,typhoon,RT @kuyakim_atienza: typhoon pablo is 700 kilometers wide RT @iamBOO12 @kuyakim_atienza kuya kim how big is typhoon pablo?,,,Medium
2419,3,typhoon,RT @noynoyaquino: [Adm-02] Camera image of Typhoon Bopha as it gets near the Philippine Area of Responsibility ... http://t.co/TncrrizB,,,Medium
2420,3,typhoon,RT @rapplerdotcom: #PabloPH: Davao City gearing up for possible flooding and landslides (via @karlosmanlupig). How are you preparing for ...,,,Low
2421,3,typhoon,"RT @inquirerdotnet: BREAKING: #PabloPH enters PH Area of Responsibility, located 900 km southeast of Hinatuan City | via @dost_pagasa",,,High
2422,3,typhoon,"NDRRMC: Incoming Typhoon Pablo may bring Sendong-like rains, winds: The powerful typhoon approaching the Philipp... http://t.co/cs9D9hTO",,,Low
2423,3,typhoon,"RT @ANCALERTS: PAGASA: Typhoon Pablo at 900 km southeast of Hinatuan, Surigao del Sur",,,Medium
2424,3,typhoon,"RT @dost_pagasa: Typhoon ""BOPHA"" Satellite image as of 02/DEC/12 06:30PM http://t.co/SAWUtWnO",,,High
2425,3,typhoon,"SUPER TYPHOON BOPHA (PABLO) UPDATE NUMBER 020
Issued: 7:00 PM PhT (10:00 GMT) Sunday 02 Dec 2012
Next Update:... http://t.co/C0df8dfw",,,Low
2426,3,typhoon,"Palau, Philippines brace for powerful Typhoon Bopha http://t.co/dAfr6xvQ",,,Low
2427,3,typhoon,"RT @dost_pagasa: At 8PM 02/DEC/2012: The eye of Typhoon ""PABLO"" was located at 870 km Southeast of Hinatuan, Surigao Del Sur (06.4 �N 13 ...",,,Medium
2428,3,typhoon,RT @maria_ressa: Keep this open for constant updates! LIVE: Typhoon Bopha / Pablo Updates http://t.co/qxR3f7sa via @rapplerdotcom,,,Low
2429,3,typhoon,"The eye of Typhoon ""PABLO"" was located at 820 km Southeast of Hinatuan,Surigao Del Sur #keepsafe everyone!",,,Medium
2430,3,typhoon,"RT @dost_pagasa: Typhoon ""PABLO"" Satellite image as of 02/DEC/12 08:30PM http://t.co/O7dwgVY1",,,Medium
2431,3,typhoon,"? Whenever I'm afraid, I will trust in You, Lord. ? Shoo away, typhoon Bopha!!! ??? http://t.co/INXR7E4h",,,Low
2432,3,typhoon,RT @gmanews: When will #PabloPH hit Mindanao? Will it hit Metro Manila? These questions (and more) can be answered here: http://t.co/d3q ...,,,Medium
2433,3,typhoon,RT @MatEick: #EU #Humanitarian #Aid ECHO monitoring #Typhoon #Bopha See latest flash report http://t.co/OoaNKUq3,,,Low
2434,3,typhoon,"Pag-asa: At 10:00PM 02/DEC/2012, the eye of Typhoon #PabloPH was located at 810 km Southeast of Hinatuan, Surigao... http://t.co/FHQIVZCH",,,Medium
2435,3,typhoon,"Praying for Phils.esp.those areas that will be affected by typhoon ""BOPHA"".Pls.be prepared,stay safe &amp;pray!!!Our prayers are w/ u too!",,,Low
2436,3,typhoon,RT @HUMNEWS: ?@ANCALERTS #Typhoon #Pablo/ #Bopha now in #Philippines-expected 2bcome Super Storm after ravaging #SouthPacific http://t.c ...,,,Low
2437,3,typhoon,Follow PAGASA's tweets for more updates on typhoon pablo. http://t.co/mmmAmD5a,,,Low
2438,3,typhoon,"RT @dost_pagasa: WEATHER BULLETIN #2
TROPICAL CYCLONE WARNING: TYPHOON ?#Pabloph? (BOPHA)
ISSUED AT 11:00 PM, 02 DECEMBER (cont) http:// ...",,,Medium
2439,3,typhoon,"@nhymyat87 Acasia, Carmen #CDO #PabloPH",,,Low
2440,3,typhoon,RT @interaksyon: ALERT | 'Pablo' likely to be the strongest typhoon to hit Philippines this year http://t.co/489AbAM0,,,Low
2441,3,typhoon,"RT @addusamahan: Ateneans, be on the lookout: http://t.co/oA1cRT6n

#PabloPh",,,Low
2442,3,typhoon,For all #PabloPH news stories and information log on to : http://t.co/IJOBYbDM @djstaana @Luchitweet @paolobediones @mykapalaran,,,Low
2443,3,typhoon,"RT @dost_pagasa: UPDATE ON  TYPHOON ?PABLO?  (International Name: Typhoon Bopha)

Typhoon Bopha has entered the Philippine (cont) http:/ ...",,,High
2444,3,typhoon,"RT @JimCantore: Powerful #Bopha to strike island of Palau east of Philippines within 24 hours: http://t.co/mRMNvmrE 
http://t.co/3PzLWByS",,,Medium
2446,3,typhoon,@renielbarroso ur right on that. Better safe than sorry po. :) #PabloPH,,,Low
2447,3,typhoon,"At 3:00AM 03/DEC/2012, the eye of Typhoon #PabloPH was located @ 715 km Southeast of Hinatuan, Surigao Del Sur... http://t.co/EwudHfSE",,,Medium
2448,3,typhoon,RT @dost_pagasa: Typhoon #PabloPh has slightly weakened as it moves West Northwestward,,,Medium
2449,3,typhoon,"RT @UnangHirit: NDRMCC, naka-red alert na para sa posibleng epekto ng Bagyong #PabloPH #UnangHirit",,,Low
2450,3,typhoon,"RT @rapplerdotcom: #WeatherAlert: Typhoon 'Pablo' closer, more areas under storm signals http://t.co/Ui7oPeKG #PabloPH #Bopha",,,Low
2451,3,typhoon,"RT @AmorySB: Stay safe, Philippines! Sending out love &amp; prayers all d way from Jakarta, Indonesia. #PabloPH",,,Low
2452,3,typhoon,RT @maria_ressa: LIVE: Typhoon Bopha / Pablo Updates http://t.co/qxR3f7sa via @rapplerdotcom,,,Low
2453,3,typhoon,RT @TheWatchers_: Typhoon Bopha moves toward Philippines http://t.co/8xpxemWg,,,Low
2454,3,typhoon,"RT @DZMMTeleRadyo: Signal No. 3: Surigao del Sur, Surigao del Norte, Siargao, Dinagat, Agusan N, Agusan del Sur, Davao Oriental #PabloPH",,,Low
2456,3,typhoon,"hope i can come home early today should there be a heavy rainfall later. Either way, am happy we are now prepared. #PabloPH",,,Low
2457,3,typhoon,RT @ANCALERTS: #PabloPH Forecast track  http://t.co/bD7BGu9O,,,Medium
2458,3,typhoon,"PAG-ASA: Typhoon ""PABLO"" has maintained its strength and is now heading towards Surigao Provinces.",,,Medium
2459,3,typhoon,I will force my Mama and Ate's tomorrow not to go to work. They're very workaholic and can't afford to absent. Tsk. #Pablo,,,Low
2460,3,typhoon,"RT @aleamse: 11:53 am.Heavy rain started on 11:53 at Siargao Island, Surigao del Norte. Please pray. Signal#3 #PabloPH #typhoonpablo",,,Medium
2461,3,typhoon,RT @ANCALERTS: THIS JUST IN: Cagayan de Oro suspends classes in all levels. Preemptive evacuation starts 2pm. #PabloPH,,,Medium
2462,3,typhoon,@rfulls_grace @chaster_babe @chanehj @chasterlee23 Typhoon Bopha heads towards Philippines http://t.co/Izul6u9C,,,Low
2463,3,typhoon,#PabloPH .....  Pwede ka ma stop ?!?!,,,Low
2464,3,typhoon,RT @YouScoopGMA: How are you preparing for #PabloPH?,,,Low
2465,3,typhoon,#PabloPH KATAKOT! ayaw ko pang mamatay gusto ko pang tumanda tsk tsk,,,Low
2466,3,typhoon,Kagay-anons on alert mode as we are bracing for the typhoon to hit the area tonight. #PabloPH,,,Low
2467,3,typhoon,@cdobloggers Thanks for info.. Our emergency team is monitoring the situ from here in HK.. Keep it coming. #PabloPH #CDO,,,Low
2468,3,typhoon,"RT @DepEd_PH: Xavier University/Ateneo de Cagayan #walangpasok Tues., Dec. 4 declared by Father Bobby Yap. #PabloPH #CDO | via @eiracabe ...",,,Low
2469,3,typhoon,Google gets ready to help PH prepare for #PabloPH through http://t.co/cMrwdclm http://t.co/Ykgxrwe5 | @tinaarceodumlao,,,Medium
2470,3,typhoon,Preparing for typhoon Pablo. http://t.co/Hdehe7dQ,,,Low
2471,3,typhoon,Keep safe Davaoenos! #PabloPH is coming.,,,Low
2472,3,typhoon,"RT @WorldVisionPH: With typhoon Bopha (local name Pablo) now inside Philippine area of responsibility, storm signal warnings are... http ...",,,Low
2473,3,typhoon,RT @pusangkalye22: Super Typhoon Pablo now being felt in Mindanao.please take precautions.don't under-estimate this typhoon guys.Decembe ...,,,Low
2475,3,typhoon,"RT @dost_pagasa: WEATHER BULLETIN #5
TROPICAL CYCLONE WARNING: TYPHOON ?#pabloPH? (BOPHA)
ISSUED AT 05:00 PM, 03 DECEMBER 2012... http:/ ...",,,High
2476,3,typhoon,RT @ABSCBNNews: NDRRMC: #PabloPH not necessarily thrice the strength of Sendong. Let us not alarm the people.,,,Low
2477,3,typhoon,RT @USLS_tweets: Negros Occidental is now Signal No. 1. #PabloPH #KeepSafe,,,High
2479,3,typhoon,"Mayor Rama declared ""no class"" tomorrow because of Typhoon Bopha (Pablo) #fb",,,Medium
2480,3,typhoon,I pray for the people in surigao del sur . because of typhoon pablo,,,Low
2481,3,typhoon,It was predicted that the said Typhoon Pablo is more destructive than Sendong. But we have The Almighty God who'll spare us from harm. ??,,,Low
2482,3,typhoon,Mayati-an kos ka feeling older brother sakong little brother. Hahaha!! #pabloph #brotherlove http://t.co/iK6au9DV,,,Low
2483,3,typhoon,"RT @typhoonfury: Heavy squall lashing Koror right now, back end feeder back from #typhoon #bopha",,,Medium
2484,3,typhoon,"RT @dost_pagasa: At 05:00PM 03/DEC/2012, the eye of Typhoon #PabloPH was located @360km Southeast of Hinatuan, Surigao Del Sur... http:/ ...",,,Medium
2485,3,typhoon,RT @dee_kosh Super Typhoon Pablo threatening to hit the Philippines - #PrayforthePhillipines,,,Low
2486,3,typhoon,"Dear Lord, Sana walang masaktan sa Bagyong Pablo. #PabloPH",,,Low
2487,3,typhoon,"To my family and friends in Davao, stay safe!!! #pabloPH",,,Low
2488,3,typhoon,RT @DepEd_PH: Classes in all levels in Cebu City will be suspended tom #PabloPH #walangpasok | via @tweenyisone @cebudailynews,,,Medium
2489,3,typhoon,"RT @ItsShowtime: #PabloPH
????????????????????????????????
??? ? ???? ??? ??? ??????????? ???? 
????????????????????????????????",,,Low
2490,3,typhoon,"Typhoon Bopha heading for southern Philippines: 
    
 http://t.co/8QTUX4LA",,,Low
2491,3,typhoon,#News #Asia - Typhoon Bopha heading for southern Philippines: A powerful typhoon is bearing down on the southern... http://t.co/PfxdZSzh,,,Low
2492,3,typhoon,RT @rapplerdotcom: USLS suspends Kinder to Elementary classes tomorrow due to typhoon Pablo. #PabloPH (via @USLS_tweets) #walangpasok,,,Medium
2493,3,typhoon,Typhoon #Bopha due to arrive in the #Philippines http://t.co/cv1nmUGY #PabloPH,,,Low
2494,3,typhoon,RT @Mai_Rodrigz: @robertspeta Landfall expected in 8-10 hrs. in Northeastern Mindanao. Rains projected to be heavy-intense #PabloPH @sol ...,,,High
2495,3,typhoon,Typhoon Bopha heads for southern Philippines http://t.co/e0dPK3qQ,,,Low
2496,3,typhoon,Typhoon Bopha  is currently heading W with 132 mph winds.  http://t.co/Rbm7YHvB,,,Medium
2497,3,typhoon,Let?s pray that Pablo will not be the monster typhoon that we are bracing for,,,Low
2498,3,typhoon,Zero casualty please #PabloPH,,,Low
2499,3,typhoon,RT @nababaha: Location and track of typhoon Pablo. http://t.co/jkuJB9DY,,,High
2500,3,typhoon,"RT @dost_pagasa: At 08:00PM 03/DEC/2012, the eye of Typhoon #PabloPH was located @270km Southeast of Hinatuan, Surigao Del Sur... http:/ ...",,,Medium
2501,3,typhoon,#PabloPH update: @WorldVisionPH in #MoisesPadilla Neg Occ. is closely monitoring with MDRMMC. Advisory on classes suspension is circulated.,,,Medium
2502,3,typhoon,"God,pls.protect us always especially from this coming #Typhoon,signal no.3 is not a joke!",,,Low
2503,3,typhoon,"RT @karlosmanlupig: Ateneo de Davao University suspends classes for pre-school, grade school and high school. #PabloPH @maria_ressa @rap ...",,,Medium
2504,3,typhoon,GoodNight! ? Sweet Dreams ;) Sleep Tight &amp; Sleep Well &gt;;D&lt; #LOVELOVELOVE #PRAY;* #Typhoon&gt;&lt; #NoClassTomorrow:bd,,,Low
2505,3,typhoon,"RT @ANCALERTS: PAGASA: As of 9pm, Typhoon Pablo at 255km southeast of Hinatuan, Surigao del Sur",,,Medium
2506,3,typhoon,"#Typhoon #Bopha course Praying for our family, and all residents of the #Philippines. STAY SAFE http://t.co/NEFavU0F",,,Low
2507,3,typhoon,Philippines: #Bopha/#Pablo storm signal no. 3 up over 13 areas http://t.co/383ImRzQ,,,Medium
2509,3,typhoon,"#typhoon, #philippines: Super Typhoon 26W (Bopha) now approaching Mindanao in the Philippines. http://t.co/9xS39I2d #26w #bopha #pablo",,,Medium
2510,3,typhoon,"11:55pm/Dec 3 | TYPHOON PABLO | Bagong Public Storm Warning Signals sa buong bansa, ayon sa PAGASA kaninang 11:00pm. http://t.co/S5XEJ8g3",,,Low
2511,3,typhoon,Disaster preparation. #PabloPH #typhoon #Dumaguete#City http://t.co/1e5dlVOM,,,Low
2512,3,typhoon,My prayers and thoughts go to our kababayans in VisMin. God will be there with you guys. #Pabloph,,,Low
2513,3,typhoon,Good m0rnyt na sa inyo. And pray for mindanao and visayas! #Pablo ano b? #Malingmali ka ng timing. Nyt,,,Low
2514,3,typhoon,"SEVERE WEATHER BULLETIN NUMBER SIX
TROPICAL CYCLONE WARNING: TYPHOON ?#PABLOPH? (BOPHA)
ISSUED AT 11:00 PM, 03... http://t.co/KPBE3V6M",,,Medium
2515,3,typhoon,"Hourly Updates on Typhoon ""PABLO""

Time Coordinates Position
1:00 a.m. 
04 December 2012 7.5�N, 127.5�E 150 km... http://t.co/KpuSp0wD",,,Medium
2516,3,typhoon,#reliefPH ops need road access. HELP report #roadsPH conditions to http://t.co/i46cE3kb &amp;view map http://t.co/IiXqG81u #rescuePH #PabloPH,,,Medium
2517,3,typhoon,"RT @mindanaoan: Typhoon #PabloPH updates for Bukidnon residents. Numbers to call, work suspensions etc. Pls share thanks - http://t.co/2 ...",,,High
2518,3,typhoon,RT @ANCALERTS: 16 areas under signal no. 3 as Typhoon Pablo nears http://t.co/1yDn7Vkt #PabloPH,,,Low
2519,3,typhoon,Graphical projection of the possible track of Typhoon #PabloPH as its crosses through Northern Mindanao (CARAGA... http://t.co/2qdCJiit,,,Medium
2520,3,typhoon,"RT @CIMSS_Satellite: Category 5 Super Typhoon Bopha, approaching the Philippines: 375-meter resolution Suomi NPP VIIRS IR image: http:// ...",,,Medium
2522,3,typhoon,"Class Suspensions Super Typhoon Pablo (December 4, 2012) http://t.co/PONvi3QY",,,Low
2523,3,typhoon,"RT @ANCALERTS: PAGASA: As of 2am, Typhoon Pablo at 180km east of Davao City",,,Medium
2524,3,typhoon,RT @weatherchannel: RT @twc_hurricane: Spectacular images of Super #Typhoon #Bopha from the Int'l Space Station via @NASAHurricane:  htt ...,,,Medium
2526,3,typhoon,"RT @kryzzzie: Dear Lord, we know you wont give us anything we cant handle, but please send #PabloPH away and give us a happy Christmas m ...",,,Low
2527,3,typhoon,RT @NASA_Astronauts: #Exp34 crew aboard #ISS took this photo of Super Typhoon Bopha  bearing  down on the Philippines yesterday. �http:/ ...,,,Low
2528,3,typhoon,"No podcast today, in light of the most urgent news: Typhoon #PabloPH &amp; the safety of our kababayan in Visayas &amp; Mindanao. Stay safe po!",,,Low
2529,3,typhoon,PAGASA raises Signal Number 2 over Biliran Island.#PabloPh,,,High
2530,3,typhoon,RT @breakingweather: A potential disaster is unfolding as Super Typhoon Bopha makes landfall on the Philippines island of Mindanao. http ...,,,Medium
2531,3,typhoon,RT @weathernetwork: This is how Super-Typhoon #Bopha looked yesterday from the ISS. Menacing: http://t.co/9An73knY,,,Medium
2532,3,typhoon,"""@DavaoCityGov: #davaocity is under storm signal #2. CLASSES from kinder to high school are SUSPENDED today, Dec. 4. #walangpasok""#fb",,,Medium
2533,3,typhoon,Heavy rain since 12am in CDeO :( whoa! Can now feel typhoon Pablo. Stay safe #Mindanao,,,Medium
2534,3,typhoon,RT @nababaha: Latest weather satellite image showing typhoon Pablo;s position. http://t.co/k75d1B5B,,,Medium
2535,3,typhoon,Lumalakas na ang ulan at hangin dito sa Davao. Oh my. #TyphoonPablo,,,Low
2536,3,typhoon,will be evacuating in a few moments. #PabloPH,,,Low
2537,3,typhoon,"RT @dost_pagasa: TYPHOON PABLO has made landfall over Baganga, Davao Oriental at 04:45am December 04, 2012. http://t.co/82tkBz2N",,,High
2538,3,typhoon,"As far as Sta. Filomena, Iligan City, Lanao del Norte is concerned, we no longer have electricity as well as landline. :-( #PabloPH",,,High
2540,3,typhoon,In case you missed it: Typhoon Pablo made landfall in Davao Oriental at 4:45am t? http://t.co/5RLehBCV #anc,,,Low
2541,3,typhoon,"RT @kuyakim_atienza: Weather: typhoon pablo has made landfall, currently in the vicinity of Davao Oriental at max winds of 175 kph. Will ...",,,Medium
2542,3,typhoon,"RT @dost_pagasa: At 7:00AM 4/DEC/2012, the eye of Typhoon #PabloPH was located over Laak Compostela Valley (7.9�N 125.9�E) with... http: ...",,,Medium
2543,3,typhoon,RT @BongEliab: Official Announcement: classes are suspended in tertiary level of Ateneo de Davao University today Dec 4 #walangpasok,,,Medium
2544,3,typhoon,Rain and wind never stops here in Bohol since pa kaninang madaling araw. #PabloPH,,,Medium
2545,3,typhoon,@USLS_tweets: Official statement regarding clas suspension in college (USLS) will b released no later thn 12:00NN today. Stay tune. #PabloPH,,,Low
2546,3,typhoon,RT @tinyshelcy: It's raining hard here in CEBU! Let's be safe everyone! #PabloPH vs. #Prayer,,,Low
2547,3,typhoon,RT @OAPlanet: Super Typhoon Bopha to Hit the Philippines http://t.co/RkM6oSCX,,,Low
2548,3,typhoon,#PabloPh may pasok ba ang PUBLIC school sa DAVAO City,,,Low
2549,3,typhoon,I may be joking around about #Pablo but seriously #keepsafe everyone and #Pray. :|,,,Low
2550,3,typhoon,Bagyong Pablo hits Visayas and Mindanao. Please help us pray for our safety. #Pabloph,,,Low
2551,3,typhoon,"#PabloPH, Evacuees @ SOuth 1 Central School in Tubod, #Iligan getting wet inside the gym. Requesting the principal to open the classrooms""",,,High
2552,3,typhoon,"RT @dost_pagasa: At 8:00AM 4/DEC/2012, the eye of Typhoon #PabloPH was located over Laak Compostela Valley or @ 80km SouthEast of... htt ...",,,Medium
2553,3,typhoon,Strong winds here at the south. Continuous rainfall since last night. #TyphoonPablo,,,Medium
2554,3,typhoon,Beastly super typhoon Bopha bears down on Philippines http://t.co/ijsJnNFl,,,Low
2555,3,typhoon,It's beggining to feel a lot like.christmas because of typhoon pablo! Keep safe y'all. http://t.co/jS5aZFMP,,,Low
2556,3,typhoon,"RT @Karen_DaviLa: @dost_pagasa LIVE on Headstart: Typhoon Pablo makes landfall in Davao Oriental, Signal #3 declared in 16 areas.",,,Low
2558,3,typhoon,"RT @breakingstorm: No immediate reports of casualties, serious damage after Typhoon Bopha makes landfall in Philippines - @AFP http://t. ...",,,Low
2559,3,typhoon,Ah yess the 'calvario' is here... #PabloPH,,,Low
2560,3,typhoon,"XU-CSG Update: Power is out in Iponan area. Source: Marilyn Baldado, resident of Iponan #PabloPH",,,High
2561,3,typhoon,"its raining again here at #bukidnon , typhoon #pabloph...classes suspended today :(",,,Low
2562,3,typhoon,"Stay Safe Guys &amp; Keep Praying, Lord God will save us from this Typhoon Pablo :)",,,Low
2563,3,typhoon,grabe lakas naman ng hangin may kasabay pang malakas ulan #PabloPH,,,Low
2564,3,typhoon,At least 128 flights canceled due to typhoon #PabloPH #NewsYouCanUse,,,Low
2565,3,typhoon,Centrio announces NOT OPEN for business TODAY due to #PabloPH. #CDO,,,Low
2566,3,typhoon,"RT @HumanityRoad: Super Typhoon #BophaFive Day Forecast Maphttp://t.co/rPcNy3Lv #hmrd",,,Medium
2567,3,typhoon,we dont have classes this day due to typhoon Pablo. whooaaahh!,,,Low
2568,3,typhoon,RT @LiveScience: Super Typhoon Bopha to Hit the Philippines http://t.co/qDbvEPZM,,,Low
2569,3,typhoon,rain drops is now falling on the roof top #PabloPH Signal No. 3,,,Low
2570,3,typhoon,RT @primyck: Forced evacuation has begun in CDO http://t.co/9ZIvqW3Q #PabloPH,,,High
2571,3,typhoon,"actually, for collegiate level, it's the universities' discretion. it wasn't really an order. haha #pablo",,,Low
2572,3,typhoon,RT @loyoung: Please pray for the areas that are getting affected by typhoon Pablo. #staysafe,,,Low
2573,3,typhoon,"RT @USLS_tweets: Classes in the entire university (IS,COLLEGE,GRAD SCH) are suspended due to #PabloPH. No office work as well. Keep safe ...",,,Medium
2574,3,typhoon,"RT @CebuPacificAir: Hi everyJuan! For our most updated list of cancelled flights due to Typhoon Pablo, please refer to our latest uplo h ...",,,Low
2575,3,typhoon,"bumagyo lang, end of the world kaagad? oa lang teh? #PabloPH",,,Low
2576,3,typhoon,"RT @ABSCBNNews: A resident of Tibasak, Macasandig in CDO being prompted to evacuate. http://t.co/ATgvcrdH |via @PrimyCk #PabloPH",,,Low
2577,3,typhoon,And the light just went off! #brownout #PabloPH,,,High
2578,3,typhoon,Typhoon Pablo http://t.co/zd3Y6wAj,,,Medium
2579,3,typhoon,Dark skies. Swaying trees. Super strong wind. #PabloPH,,,Medium
2580,3,typhoon,RT @TrishaChance: @greysonchance Please pray for Davao Enchancers here in Philippines. #Typhoon,,,Low
2581,3,typhoon,It's going be a rainy week for Davao. #PabloPH http://t.co/XnObb62J,,,Low
2582,3,typhoon,"Intense rains and thunderstorms in malaybalay, bukidnon as #PabloPH nears. No power in area. @cebudailynews",,,High
2583,3,typhoon,I just hope this will all be over soon. #PabloPH,,,Low
2584,3,typhoon,Wind is howling...eerie..scary! A billboard fell here in cdo (near mindanao glassware). Accdg to magnum news. #PabloPH,,,Medium
2585,3,typhoon,"RT @iamsuperbianca: stay safe, visayas and mindanao! please always listen to updates from pag-asa and ndrrmc! #PabloPH",,,Medium
2586,3,typhoon,Category no 5 #PabloPH lakas hangin dito sa cebu @ninofranco928,,,Low
2588,3,typhoon,Pablo chill lang naman :) #PabloPh,,,Low
2589,3,typhoon,"""@Typhoon2k: View today's SPECIAL MORNING COVERAGE VIDEOBLOG on TYPHOON BOPHA (PABLO) [Dec. 04, 2012] at the (cont) http://t.co/1EtFzT8g""",,,Low
2590,3,typhoon,malakas ka ba #PabloPH ??,,,Low
2591,3,typhoon,RT @ABSCBNNews: #PabloPH weakens; storm warnings in 46 areas http://t.co/dCrXE5xc,,,Low
2592,3,typhoon,"RT @BBCBreaking: Typhoon Bopha hits south Philippines - 40,000 people believed to have been evacuated from their homes. Details soon htt ...",,,Low
2594,3,typhoon,"RT @gmanews: Typhoon #PabloPH slams southern PHL, destroys homes, one dead http://t.co/7z953bqO",,,Low
2595,3,typhoon,Loading up on caffeine so i'll be awake tonyt when the worse of the #storm #PabloPH comes. No #flood pls,,,Low
2596,3,typhoon,"#manila #flights Typhoon Bopha slams Philippines south, destroys homes, one dead: MANILA (Reuters) - Typhoon Bop...  http://t.co/0OIlCfue",,,Low
2597,3,typhoon,"Philippines hit by Typhoon Bopha: More than 40,000 people are moved into shelter as a powerful typhoon hits the southern Philippines,...",,,Medium
2598,3,typhoon,"Bought a dynamo flashlight, and a lighter, just in case. #PabloPH http://t.co/M4SjdVhN",,,Low
2599,3,typhoon,"Typhoon Bopha slams Philippines south, destroys homes, one dead.",,,Medium
2600,3,typhoon,"RT @reuters: Typhoon Bopha slams Philippines south, destroys homes, one dead http://t.co/EEschTTV",,,Low
2601,3,typhoon,"#pabloPH knocked down the banana trees
 @ F. Llamas St http://t.co/mRxQXNmV",,,Low
2602,3,typhoon,"As far as I know, I think #PabloPH didn't hit Davao City so hard.",,,Low
2603,3,typhoon,RT @leolasty: Pagasa Mactan Director Oscar Tabada says Cebu is experiencing 65 kph winds and moderate rains. #PabloPH,,,Medium
