tweet_id,text,created_at,category_name
2609,"#reliefPH Food packs, water &amp; non-food items needed. In #Iligan, pls contact: @rmpnmr +63 223 5179 or BALSA #Mindanao #Lanao +63 222 6516",2012-12-04T00:00Z,Donations
3036,"What the hell is going on at LAX, and why does something bad ALWAYS happen at an airport on days that I fly? Explain, @jonostrower.",2013-11-01T00:00Z,InformationWanted
3752,Another explosion in Texas?? What's going on ? ??,2013-04-18T00:00Z,InformationWanted
3785,"RT @prsarahevans: Able to offer housing to victims of #waco #westtexas explosion? Tweet, DM or email info and I'll compile a list: prsar ...",2013-04-18T00:00Z,Volunteer
3888,"Facebook Friends &amp; Customers in Texas: If you are wondering how you can best help out with the tragedy in West,... http://t.co/YkDKnkgXPD",2013-04-18T00:00Z,Donations
4479,"RT @adamlevine: Guys, let's help raise funds for the @RedCross for those in need in the #Guatemala #earthquake http://t.co/6u9oY7sh",2012-11-09T00:00Z,Donations
4485,"""@adamlevine:Guys,let's help raise funds for the @RedCross for thosein need in the#Guatemala#earthquake http://t.co/72L2ERvj"" @NiallOfficial",2012-11-09T00:00Z,Donations
4494,@BinkyTrance yeah like donate to the devastation of sandy or the earthquake in guatemala.,2012-11-11T00:00Z,Donations
4669,#rescuePH rescue UST Hospital! oh pls. can't imagine those patients suffering from....ugh. :(,2012-08-07T00:00Z,SearchAndRescue
4676,"A family needs to be rescued at 36 Road 3, Dona Petra, Concepcion Uno, Marikina City. They're stuck at the 2nd floor. Thanks #rescuePH",2012-08-07T00:00Z,SearchAndRescue
4682,"RT @lightfusion: Please send rescue team to 14P Diamond St. Cypress Village, Masambong QC. Family trapped in 2nd flr. Thanks! #RescuePH",2012-08-07T00:00Z,SearchAndRescue
4684,RT @ken_rhoel SOS!UST Hospital flood now on the 2/F.No food for the patients &amp; staff. Please RT! #Rescue5 #rescuePH @MMDA,2012-08-07T00:00Z,SearchAndRescue
4686,RT @miriamq: #RescuePH Rescue pls family trapped at Blk64 Lot2 Phase2 Dela Costa Homes V Burgos Montalban Rizal.Family of 4w/2 children. ...,2012-08-07T00:00Z,SearchAndRescue
4688,"RT @doblezeta: Anyone from San Mateo, Rizal who can rescue this person? #rescuePH http://t.co/9CJAdgYe",2012-08-07T00:00Z,SearchAndRescue
4693,"RT @VictoriaCourtVC: The flood victims of Manila need soap, pampers, water and hot food please. We are opening our Malate Branch  http:/ ...",2012-08-07T00:00Z,Donations
4695,RT @tonyocruz: Want to donate or to volunteer? Check out this list: http://t.co/EMMUXsbA /via @CP_Union #RescuePH,2012-08-07T00:00Z,Volunteer
4697,RT @akoposimarcelo: Flood in the UST Hospital is now on the 2nd floor. No food for the patients &amp; staff. Pls. help! #rescuePH @rescu ...,2012-08-07T00:00Z,SearchAndRescue
4699,Flood can harm animals just as easily as it can harm people!Place horses to safer place &amp; not take advantage for money from this! #rescuePH,2012-08-07T00:00Z,SearchAndRescue
4700,"RT @Tamaraw_Nation: FEU, Science Building. Help is needed. There are 39 stranded students in there. #rescuePH Please send people there t ...",2012-08-07T00:00Z,SearchAndRescue
4701,Please retweet! Teenager stranded in his house 8 st catherine street provident vill mrkna #rescuePH #PrayForThePhilippines,2012-08-07T00:00Z,SearchAndRescue
4704,RT @tonyocruz: All donations brought to LBC will be sent to PH Red Cross evacuation centers /via @LBC_Foundation #ReliefPH,2012-08-07T00:00Z,Donations
4707,"RT @McDo_ph: McDonald's stores open in Metro Manila are now accepting donations in kind (rice, noodles, canned goods, etc.) for flood vi ...",2012-08-07T00:00Z,Donations
4708,"PLEASE RT! A CERTAIN RODRIGO SALVADOR IS NEED OF RESCUE. HE IS WITH 6 KIDS, 9 OTHERS. 184 KALIRAYA ST., CLUSTER 12, TATALON #rescuePH?",2012-08-07T00:00Z,SearchAndRescue
4714,"Neil Gaiman, the author. RT @neilhimself: Sending love and worry to the Philippines.  (WIll also send aid donation using #reliefPH info....)",2012-08-07T00:00Z,Donations
4715,RT @AnnValerio: University of Santo Tomas (UST) Hospital needs food for the patients and staff. #rescuePH,2012-08-07T00:00Z,GoodsServices
4716,RT @princessu1: RT pls @suzy899 #ReliefPH All Ayala Malls accepting donations 4 flood victims.just go to concierge booths in Ayala Malls ...,2012-08-07T00:00Z,Donations
4717,"#rescuePH ?@CESC_1213: PLEASE HELP US SEEK RESCUE FOR OUR FRIEND!:( Jaja Vigilia, 09159166833, #3 Sampaguita St. IVC Marikina City",2012-08-07T00:00Z,SearchAndRescue
4722,"@DSWDserve ""@Hey_Jupiter1:Drinking water needed for 20-30 ppl at #177 RP Palad St, Moras dela Paz, Sto Tomas,Pampanga #RescuePH #ReliefPH""",2012-08-07T00:00Z,GoodsServices
4722,"@DSWDserve ""@Hey_Jupiter1:Drinking water needed for 20-30 ppl at #177 RP Palad St, Moras dela Paz, Sto Tomas,Pampanga #RescuePH #ReliefPH""",2012-08-07T00:00Z,Donations
4725,"#RescuePH Christianne Mapue &amp; family , 63 Caridad St, Don Pedro Vil, Valenzuela City. 0917-5562046. Stranded in neck-deep flood. @mmda",2012-08-07T00:00Z,SearchAndRescue
4732,"@MMDA #rescuePH please help! stranded ang mga residente ng B53 L12 Teachers Village Catmon, Malabon! staying on top of their roofs!",2012-08-07T00:00Z,SearchAndRescue
4735,Please RT. Kindly course your donations through St.Scholastica's College Manila  hotline: 567-7686 to 89 #rescuePH http://t.co/z8p41IVc,2012-08-07T00:00Z,Donations
4736,"RT @kojimeno: Anyone near UST hospital? They need help badly. 2nd floor is flooded, patients &amp; staff have no food. #rescuePH",2012-08-07T00:00Z,SearchAndRescue
4736,"RT @kojimeno: Anyone near UST hospital? They need help badly. 2nd floor is flooded, patients &amp; staff have no food. #rescuePH",2012-08-07T00:00Z,GoodsServices
4738,"@miriamq, ma'am Please R E T W E E T! UERM Staff &amp; patients are in need of immediate ACTION/HELP. #rescuePH #reliefPH",2012-08-07T00:00Z,SearchAndRescue
4741,RT @ChaDaoTeaPlace: @ChaDaoTeaPlace Flood Relief Information #RescuePH Check poster for donation drop offs. SHARE IF U CARE! http://t.co ...,2012-08-07T00:00Z,Donations
4742,"RT @SavePHSeas: To NGOs &amp; charity organizations: if not accredited by DSWD, pls consign your imported donations to DSWD.#ReliefPH |  ...",2012-08-07T00:00Z,Donations
4758,#ReliefPH Jollibee Foundation Coinbanks now accepts Funds for Flood-Affected Families http://t.co/Wa2ddFBP,2012-08-07T00:00Z,Donations
4760,RT @Official1D_PHIL: Remember you can help the victims of the flood by donating to Philippine Red Cross. More info on how here: http://t ...,2012-08-07T00:00Z,Donations
4762,"@gmanews  @suzy899 #RescuePH my grandpa at camia st cor. cattleya twinville subd mrkna, he's 75yrs old &amp; nsa bubong sya since 10am. :(?",2012-08-07T00:00Z,SearchAndRescue
4763,"RT @aldrecha17ramos: RT FEU, Science Building. Help is needed. There are 39 stranded students in there. #rescuePH Please send people the ...",2012-08-07T00:00Z,SearchAndRescue
4766,@noynoyaquino Rescue needed in Romualdez st. cor Kalentong. 1st house beside Caltex. Lolo and Lola residing. #RescuePH,2012-08-07T00:00Z,SearchAndRescue
4771,? RT?@stylebibleph: @DivinemLee @CIANtonado:#saveUERM! Flood is about to reach the 3rd floor where the nursery is! PLS RT!!? #RescuePH?,2012-08-07T00:00Z,SearchAndRescue
4773,"""?@maltosers: ""Concepcion Integrated School in Marikina has 582 families, no food yet the whole day"" #RescuePH"" @DivinemLee",2012-08-07T00:00Z,SearchAndRescue
4778,74 yrs old lady trapped at 17 kapiligan st araneta subd qc. All grilled windows locked water already at 2nd floor. #rescuePH help! RT,2012-08-07T00:00Z,SearchAndRescue
4779,"RT @vm_alto: RT @SuperCakeFyu: #RescuePH roldan family,gen segundo st. Heroes hills. The mother has cancer. Theyre trapped on their roof ...",2012-08-07T00:00Z,SearchAndRescue
4782,"RT @PepiSison: Concepcion Integrated School (Marikina) has 582 families, no food yet the whole day. Please RT #rescuePH",2012-08-07T00:00Z,SearchAndRescue
4782,"RT @PepiSison: Concepcion Integrated School (Marikina) has 582 families, no food yet the whole day. Please RT #rescuePH",2012-08-07T00:00Z,Donations
4783,"HELP UERM HOSPITAL! Brownout &amp; ICU Patients on generator, generators about to die. Flood almost at 3rd flr where the nursery is. #RescuePH",2012-08-07T00:00Z,SearchAndRescue
4785,RT @saabmagalona: RT Flood in UERM hospital is almost at 3rd floor where the nursery is. No rescuers the whole day. #RescuePH,2012-08-07T00:00Z,SearchAndRescue
4786,"RT @johnebora: PGH, UERM, and UST Hospital are flooded. Supplies are running low. Patients and staff need food and water. #RescuePH",2012-08-07T00:00Z,GoodsServices
4786,"RT @johnebora: PGH, UERM, and UST Hospital are flooded. Supplies are running low. Patients and staff need food and water. #RescuePH",2012-08-07T00:00Z,SearchAndRescue
4787,RT @TagaFEUKaKung: UERM really needs help!! Flood is almost at 3rd floor where the nursery is. No rescuers the whole day. #RescuePH,2012-08-07T00:00Z,SearchAndRescue
4791,"#RescuePH Wilma Ubando Payod w/ 3 kids Purok 3, Malanday, Marikina; their house is near the national high school. @gmanews",2012-08-07T00:00Z,SearchAndRescue
4792,RT @PioHerras: URGENT  - HELP IS NEEDED IN UST HOSPITAL. Flood has reached the building's 2nd level.  #rescuePH http://t.co/Fjr1KqgD,2012-08-07T00:00Z,SearchAndRescue
4793,"""@JltBoa: THE GENERATOR OF THE HOSPITAL JUST DIED PLS RESCUE THE PEOPLE @ UST UERM &amp; PGH HOSPITAL @MMDA #RESCUEPH RT &amp; SPREAD!"" HELP PLEASE",2012-08-07T00:00Z,SearchAndRescue
4793,"""@JltBoa: THE GENERATOR OF THE HOSPITAL JUST DIED PLS RESCUE THE PEOPLE @ UST UERM &amp; PGH HOSPITAL @MMDA #RESCUEPH RT &amp; SPREAD!"" HELP PLEASE",2012-08-07T00:00Z,GoodsServices
4794,"RT @TheMayorLIM: RT ""@noynoyaquino PLEASE HELP THE UST, UERM, and, PGH HOSPITALS. THEY NEED IT. @TheMayorLIM @gmanews @ANCALERTS #RescuePH""?",2012-08-07T00:00Z,SearchAndRescue
4796,"RT @riceflower: Family needs rescuing. Address: 55 Guirayan St. Brgy. Dona Imelda, Araneta Ave., QC. #rescuePH pls RT",2012-08-07T00:00Z,SearchAndRescue
4797,"RT @no13atchnameyet: Please retweet RT @jdlumali
UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH ...",2012-08-07T00:00Z,GoodsServices
4797,"RT @no13atchnameyet: Please retweet RT @jdlumali
UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH ...",2012-08-07T00:00Z,SearchAndRescue
4798,"RT @ReinPunla: #RescuePH Melyn Pabustan w/ 3 kids 09175119505 Purok 3, Malanday, Marikina; their house is near the national high school. ...",2012-08-07T00:00Z,SearchAndRescue
4799,RT @CESC_1213: UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH @TheMayorLIM @TV5manila ...,2012-08-07T00:00Z,GoodsServices
4799,RT @CESC_1213: UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH @TheMayorLIM @TV5manila ...,2012-08-07T00:00Z,SearchAndRescue
4800,"RT @AKLASTomasino: RT: ""UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH @TheMayorLIM @ ...",2012-08-07T00:00Z,GoodsServices
4800,"RT @AKLASTomasino: RT: ""UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH @TheMayorLIM @ ...",2012-08-07T00:00Z,SearchAndRescue
4806,?@jrenazal: UST HOSPITAL'S GENERATORS ALREADY DIED! #rescuePH #reliefPH @ANCALERTS @ABSCBNNews @gmanews?,2012-08-07T00:00Z,GoodsServices
4806,?@jrenazal: UST HOSPITAL'S GENERATORS ALREADY DIED! #rescuePH #reliefPH @ANCALERTS @ABSCBNNews @gmanews?,2012-08-07T00:00Z,SearchAndRescue
4807,RT @majoclsn: UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH @TheMayorLIM @TV5manila  ...,2012-08-07T00:00Z,SearchAndRescue
4807,RT @majoclsn: UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH @TheMayorLIM @TV5manila  ...,2012-08-07T00:00Z,GoodsServices
4808,PGH is also in need of help. #ReliefPH,2012-08-07T00:00Z,SearchAndRescue
4808,PGH is also in need of help. #ReliefPH,2012-08-07T00:00Z,GoodsServices
4809,"RT @Super_Janice: Family needs rescuing. Address: 55 Guirayan St. Brgy. Dona Imelda, Araneta Ave., QC. #rescuePH pls RT",2012-08-07T00:00Z,SearchAndRescue
4812,"""UST Hospital and UERM in need of immediate help. UST's morgue is flooded, UERM's nursery is near being flooded. Please please #rescuePH""",2012-08-07T00:00Z,SearchAndRescue
4818,"RT @gmanews: PGH hospital staff, patients need food and water. PGH is isolated by flood. #ReliefPH (via @studentregentUP @UPManilaOnline)",2012-08-07T00:00Z,SearchAndRescue
4818,"RT @gmanews: PGH hospital staff, patients need food and water. PGH is isolated by flood. #ReliefPH (via @studentregentUP @UPManilaOnline)",2012-08-07T00:00Z,GoodsServices
4822,Meycauyan Doctors Hosp does not have generators anymore. pls help. lots of babies there. THANKS. #rescuePH RT @reginevalcasid @keancipriano,2012-08-07T00:00Z,GoodsServices
4822,Meycauyan Doctors Hosp does not have generators anymore. pls help. lots of babies there. THANKS. #rescuePH RT @reginevalcasid @keancipriano,2012-08-07T00:00Z,SearchAndRescue
4823,"""@kc_concepcion: pls RT: NEED RESCUE 65 st peter ave francisco subd veintereales valenzuela city! MOTHER+CHILD+PETS #rescuePH""",2012-08-07T00:00Z,SearchAndRescue
4824,Please send rescue teams to malabon navotas area. Was stranded there for 8 hrs. A lot of people still trapped in Letre Road #RescuePH,2012-08-07T00:00Z,SearchAndRescue
4826,RT @maryghek: PREGNANT MOM AND SMALL KIDS TRAPPED IN 5FT FLOODED HOUSE #283 L. DELA CRUZ ST. BRGY. ISLA VALENZUEL #rescuePH @reginevalcasid,2012-08-07T00:00Z,SearchAndRescue
4827,@keancipriano Ust hospital needs help! Their generator wont last long. Patients will suffer. #Rescueph #Reliefph,2012-08-07T00:00Z,GoodsServices
4828,"RT @EsguerraMics: Hospitals that need help (Food &amp; water): UST hospital, UERM and Philippine General Hospital. #rescuePH @keancipria ...",2012-08-07T00:00Z,GoodsServices
4829,RT @TagaFEUKaKung: UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH @TheMayorLIM @TV5ma ...,2012-08-07T00:00Z,GoodsServices
4830,RT @BarrettoJulia: RT @Swagalona: @BarrettoJulia PLS RT! For those who want to donate -&gt; http://t.co/sfPu2qVt #reliefPH #rescuePH,2012-08-07T00:00Z,Donations
4832,@keancipriano Delos Santos hospitals generator may die in any moment. Need help! #Rescueph RT pls,2012-08-07T00:00Z,GoodsServices
4837,"RT @SirMecMec: the hospitals of UST and UERM needs urgent rescue because their power generator will stop anytime soon. #rescuePH
#ReliefPH",2012-08-07T00:00Z,SearchAndRescue
4838,"TRINITY UNIVERSITY OF ASIA - HIGH SCHOOL CAMPUS (along E.rodriguez Sr. Ave., QC) is open for evacuees and donations. Please RT! #rescuePH",2012-08-07T00:00Z,Donations
4839,"""@sofiaandress: WE NEED RESCUE HERE! WE NEED TO EVACUATE. Address 212 M.H. Del Pilar St Tinajeros Malabon city? #RescuePH"" Please HELP them.",2012-08-07T00:00Z,SearchAndRescue
4841,RT @AshRald: AshRald for #rescuePH : Unite for a Cause - for donations please contact @xed5652 or email ashraldbabes@yahoo.com... http:/ ...,2012-08-07T00:00Z,Donations
4844,"RT @loyoung: Pls help the people here in TUA High School along E. Rod they need food, water, clothes and blankets! #RescuePH pls RT!",2012-08-07T00:00Z,Donations
4846,RT @DinoLazaro: @MMDA @gmanews #rescuePH i need help for 81yr old grandma stuck alone in her house Victoria teeten tan  2309 unit#301 G. ...,2012-08-07T00:00Z,SearchAndRescue
4848,"More dried clothes and blankets needed at Holy Family Parish, Roxas District, asap  #rescuePH",2012-08-07T00:00Z,Donations
4849,"RT @gmanews: UP-PGH UPDATE: For those who want to help, PGH doctors, nurses on duty are requesting for food and water. #ReliefPH (via @U ...",2012-08-07T00:00Z,Donations
4855,"RT @anakbayan_ph: DONATE, SHARE, and VOLUNTEER for the Flood Victims! http://t.co/A6KuT6WA #TulongKabataan #ReliefPH",2012-08-07T00:00Z,Donations
4856,"RT @ItsCityHunter: WE NEED RESCUE HERE! WE NEED TO EVACUATE. Address 212 M.H. Del Pilar St Tinajeros Malabon city? #RescuePH
@RescuePH @ ...",2012-08-07T00:00Z,SearchAndRescue
4857,RT @gmanews: PGH not in emergency situation. But relief goods will be accepted for distribution in flood-stricken areas. #ReliefPH (via  ...,2012-08-07T00:00Z,Donations
4858,"#rescuePH @gangbadoy RT @ReiMaricon: NO RESCUE YET!STRANDED SINCE 3PM.Kaya Valila+10-12fam (3-5mems).B53 L12Teachers Village,Catmon,Malabon",2012-08-07T00:00Z,SearchAndRescue
4859,"@MMDA #RescuePH  RT @mayiedelrosario: @kbrosas parescue po,my kuya hs wife&amp;amp;kid w/dogs stock (cont) http://t.co/b6rJqiqp",2012-08-07T00:00Z,SearchAndRescue
4860,"Campos family needs to be rescued in 101 Kapiligan st. Dona imelda, qc. Family of 8 with 2 senior citizens #rescuePH",2012-08-07T00:00Z,SearchAndRescue
4861,RT @RemzMarie: Rescue needed in Provident Village ASAP. Floods are getting worse. Please RT. #RescuePH,2012-08-07T00:00Z,SearchAndRescue
4862,"RT: got a friend residing in malabon who requests 4 help *23mesina st.Tinajeros malabon +639158910816 * with kids, pls pls thanks #rescuePH",2012-08-07T00:00Z,SearchAndRescue
4863,"?@purplereenamae: ?@TagaFEUKaKung:UST HOSPITAL'S GENERATOR ALREADY DIED! PLEASE SEND SOME RESCUERS! #RescuePH-- nako, pano na mga patients?",2012-08-07T00:00Z,SearchAndRescue
4863,"?@purplereenamae: ?@TagaFEUKaKung:UST HOSPITAL'S GENERATOR ALREADY DIED! PLEASE SEND SOME RESCUERS! #RescuePH-- nako, pano na mga patients?",2012-08-07T00:00Z,GoodsServices
4864,Reported @sonnie:  needs to be rescued @ Blk 12 Lot 6 3rd St. Tanong Malabon Flood &amp; no electricity. 09194199630 AnnLyn Santos #RescuePH?,2012-08-07T00:00Z,SearchAndRescue
4865,RT @elemooo: Pls Help! Raiza Lacostales and 3 others trapped @ 39bougainvilla st. Minahan Malanday +639175320538. #RescuePH @saabmagalon ...,2012-08-07T00:00Z,SearchAndRescue
4866,"RT @jenniferdalrich: RT @reginevalcasid pls help: People in Hermosa,Bataan r in roofs now,there's no rescuers helping as of now. #rescuePH",2012-08-07T00:00Z,SearchAndRescue
4867,RT @elemooo: Pls Help! Raiza Lacostales and 3 others trapped @ 39bougainvilla st. Minahan Malanday +639175320538. #RescuePH @YengPLUGGED ...,2012-08-07T00:00Z,SearchAndRescue
4869,"""@jcsalamankero: rescue pls HED woodwork 338 gov pascual brgy catmon, Malabon tapat ng gulayan near chinese temple 0917846655 #rescuePH",2012-08-07T00:00Z,SearchAndRescue
4873,"need help asap w/ 3 days old baby Unit 1 Pine Cluster St., Pineville Subd. Lawa Meycauayan Bulacan. 09166049812"" #RescuePH @rescue5ph",2012-08-07T00:00Z,SearchAndRescue
4874,"The landslide in the Manila suburb of
Quezon City buried two houses,
leaving the nine people dead and four
others injured. #FloodsPH",2012-08-07T00:00Z,SearchAndRescue
4875,"RT @sofiaandress: WE NEED RESCUE HERE! WE NEED TO EVACUATE. Address 212 M.H. Del Pilar St Tinajeros Malabon city? #RescuePH""?",2012-08-07T00:00Z,SearchAndRescue
4876,"RT @cosmoskin: ?@graciamaldita:pls RT ""Family of 8 with 2 seniors is trapped in their home! Pla help #rescuePH Add is 101 Kapiligan St D ...",2012-08-07T00:00Z,SearchAndRescue
4878,RT @joeybonifacio: I'm encouraging those who can to help with our relief work at @VictoryFort tomorrow at 10am. #rescueph,2012-08-07T00:00Z,Donations
4878,RT @joeybonifacio: I'm encouraging those who can to help with our relief work at @VictoryFort tomorrow at 10am. #rescueph,2012-08-07T00:00Z,Volunteer
4879,"""@kamrul: #rescuePH TRAPPED NO FOOD WATER SINCE 9AM Ellen,Ph9, mariposa st midtown village cainta,09062424937""",2012-08-07T00:00Z,SearchAndRescue
4879,"""@kamrul: #rescuePH TRAPPED NO FOOD WATER SINCE 9AM Ellen,Ph9, mariposa st midtown village cainta,09062424937""",2012-08-07T00:00Z,GoodsServices
4880,RT @justcuevas: Frm T. Sevilla: 4 persons needs #rescuePH at the only house now that can be seen at 52 Sanchez St. Tinajeros Malabon.,2012-08-07T00:00Z,SearchAndRescue
4882,RT @campexplore: 41 tirad pass cor sto domingo qc! 10 persons including 2 kids. last working number 0917 812 4218. magoo dulalia #rescuePH,2012-08-07T00:00Z,SearchAndRescue
4885,RT @yabs20: @mellyricks09 Please help BORRES FAMILY w/ 2y/o child!! No communications yet @ 10 BALUT ST. TONSUYA MALABON#rescuePH,2012-08-07T00:00Z,SearchAndRescue
4887,": ""@ArianelovesAli:  Pls help our friends in Funeraria Paz. 24hrs trapped. No foodwater &amp; electricity. Lots of kids there. #ReliefPH""""",2012-08-07T00:00Z,SearchAndRescue
4892,RT @angeliedesu: #rescueph A pregnant woman's staying on top of a roof near 54 Kapiligan St. Brgy. Dona Imelda QC. PLEASE HELP!!,2012-08-07T00:00Z,SearchAndRescue
4894,"RT @gmanews: Update as of 2:00 AM, where to bring your donations or to volunteer http://t.co/05Anrld6 #ReliefPH",2012-08-07T00:00Z,Donations
4895,"?@interaksyon: RT @kamrul: #rescuePH #PHalerts @MMDA @interaksyon RESCUE REQUEST! #8 A VILLA ST, BRGY BATIS, SAN JUAN City @RESCUE5PH?",2012-08-07T00:00Z,SearchAndRescue
4896,"@GaryValenciano1  text red &lt;amt&gt; to 2899 donate even small amounts to red cross. 20,50,100.. be generous with our loads.#reliefPH #rescuePH",2012-08-07T00:00Z,Donations
4897,RT @schizoprano: #reliefPH @gangbadoy FOOD &amp; H2O needed. Provident village Melbourne cor Riverside. Aina YAMBAO. with 40 ppl with ki ...,2012-08-07T00:00Z,SearchAndRescue
4897,RT @schizoprano: #reliefPH @gangbadoy FOOD &amp; H2O needed. Provident village Melbourne cor Riverside. Aina YAMBAO. with 40 ppl with ki ...,2012-08-07T00:00Z,GoodsServices
4898,"RT @JiyanSaTabi: RT  #rescuePH ""We have a patient that can't move. HEWLP PLS&gt; 09285501849."" - Tony Igcalinos, Cainta Rescue.",2012-08-07T00:00Z,SearchAndRescue
4899,RT @pacoevangelista: Please help RT @viaveloso1: RT @ellenolleres: #RescuePH @pacoevangelista Those who are in UERM the flood is now goi ...,2012-08-07T00:00Z,SearchAndRescue
4900,RT @campexplore: @kbrosas 41 tirad pass cor sto domingo qc! 10 persons including 2 kids. 0917 812 4218. magoo dulalia #rescuePH,2012-08-07T00:00Z,SearchAndRescue
4901,RT: @ANCALERTS: Marikina River level as of 2:15am is 21.5m #MarikinaStayStrong #RescuePH #ReliefPH,2012-08-07T00:00Z,SearchAndRescue
4903,"RT @DivinemLee: spoke to her. reported need rescue RT @bianxcady: (Eva. 09084810336) 39b bernardo st. Bgy. Mariblo, q.c #RescuePH pls help",2012-08-07T00:00Z,SearchAndRescue
4906,"""@candyspecs: Pls. Monitor landcom village in sta. Mesa manila.. Families trap in Martes St. Beside river.  #RescuePH @mmda"" musta kau gerri",2012-08-07T00:00Z,SearchAndRescue
4909,A pregnant woman needs help. On top of a roof near 54 Kapiligan St. Araneta Village Brgy. Dona Imelda QC #rescuePH,2012-08-07T00:00Z,SearchAndRescue
4915,"Rescuers are also human beings. They need food and water, and appreciate gestures of support. Let's all cheer them on.#rescuePH",2012-08-08T00:00Z,Donations
4916,RT Can somebody rescue my friend @ 1215 Dearborn st Brookside subd cainta rizal 09068040384.Still on roof 8/8 7:58am @philredcross #rescuePH,2012-08-08T00:00Z,SearchAndRescue
